1,Shangai,Carl Brave
2,1984,Salmo
3,Alba,Salmo
4,Amici,Massimo Pericolo
5,X1Mex,Machete
6,Hentai,S3RL
7,Non me ne frega un cazzo,Ernia
8,R8,MadMan
9,Diverso,Gemitaiz
10,Sangue di Drago,Rancore
11,QVC9,Gemitaiz
12,TUTTAPPO',Nayt
13,Vero,Nayt
14,1993,Ghali
15,TikTok,Sfera Ebbasta
